Client, Project, Role, Year
El Acai Europe, 
Calouste Gulbenkian Foundation,
Todo Muebles,
Wyldr,
Feuerdorf,
LA Balm,
Aktiv-Naturheilmittel,
Camp Bay Lodge,
Turquoise Media,
Cafe Bar Black1966,
Wohlgensinger
Las Vistas,
Inisde X,
Nomad Yoga,
AlphaMed,
Hangy,
Swiss Startup Fund,
Mictic,
Swiss Startup Tech,
Quantum Peak Coaching,

